"AUTO, OTHER MOTOR VEHICLES","BUILDING MATERIALS, GARDEN EQ. & SUPPLY DEALERS","CLOTHING & CLOTHING ACCESSORIES STORES","DEPARTMENT STORES","ELECTRONICS & APPLIANCE STORES","FOOD & BEVERAGE STORES","FOOD SERVICES & DRINKING PLACES","FURNITURE & HOME FURNISHING STORES","GASOLINE STATIONS","GENERAL MERCHANDISE STORES","GROCERY STORES","HEALTH & PERSONAL CARE STORES","MISCELLANEOUS STORES RETAILERS","MOTOR VEHICLE & PARTS DEALERS","NONSTORE RETAILERS","RETAIL TOTAL (EXCL. FOOD SERVICES)","SPORTING GOODS, HOBBY, MUSICAL INST. & BOOK STORES","Date"
70902,33544,11362,8607,6641,81607,45728,7897,34483,64986,73714,31552,10230,77997,72365,438221,5557,2020-03-01
61763,32815,3013,6181,3758,71116,30032,4034,26048,56129,63869,26952,7591,68468,79143,382734,3667,2020-04-01
93580,36826,8336,8416,5129,72663,39507,7224,29160,59458,64656,27360,8837,101837,84845,448201,6526,2020-05-01
101736,36699,17099,10086,7048,71775,47425,9575,33625,61048,63652,28318,10397,110236,82804,476881,8257,2020-06-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-09-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-01
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01
